Unnamed: 0,EAN_UPC,Product_name,Closest_Category,Brand,GPT_estimated
50,8711200857128.0,"Knorr Sauce Hollandaise, 12er Pack (12 x 250 ml)",Sauces,Knorr,Sauces
51,8720182055309.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
52,8712100413049.0,"Knorr Bärlauch Cremesuppe - gebunden - klar - trocken, 1,2 kg",Snacks & Fertiggerichte,Knorr,Suppen
53,8712100439308.0,"Knorr feine Grünerbsen Suppe Trockenmischung (typischer Erbsen Geschmack mit leichter Specknote) 1er Pack (1 x 2,7 kg)","Brühen, Bouillons & Würzmittel",Knorr,Suppen
54,8712100162978.0,"Knorr Zucchini Cremesuppe Trockenmischung (mit feinen Zucchiniwürfeln) 1er Pack (1 x 2,7 kg)",Salatzutaten,Knorr,Suppen
55,8712566410231.0,Knorr  Suppenliebe Spargelcreme Suppe leckere Gemüsesuppe ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 58 g 1 Stück,Natürlich Lecker!,Knorr,Suppen
56,8718114824307.0,Knorr Fix Würzmischung Lachs-Sahne Gratin für einen leckeren Auflauf mit natürlichen Zutaten 2 Portionen,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
57,8714100720806.0,"Knorr Kokosmilch Pulver (Milk Powder aus 20 frischen Kokosnüssen, ergibt 6,6 Liter Kokosmilch) 1er Pack (1 x 1 kg)",Natürlich Lecker!,Knorr,"Brühen, Bouillons & Würzmittel"
59,8714100761748.0,Knorr Fix Gemüse Hähnchen Pfanne mit bunten Nudeln 33g 33g,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
60,40078011009525.0,"Knorr Waldpilz Sauce, Braten, 1er Pack (1 x 1 kg)",Sauces,Knorr,Sauces
61,8712566332175.0,Knorr  Suppenliebe Frühlingssuppe für Nudelsuppe mit leckerem Gemüse ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 3 Teller,Suppen,Knorr,Suppen
62,4007801106708.0,"Knorr Velouté Weisse Grundsauce, 1er Pack (1 x 1 kg)",Sauces,Knorr,"Brühen, Bouillons & Würzmittel"
63,,"Knorr Knoblauch Cremesuppe Trockenmischung (intensiver Knoblauchgeschmack) 1er Pack (1 x 2,7kg)",Salatzutaten,Knorr,Suppen
64,4038700102089.0,Knorr  Delikatess Brühe vegane Gemüse Brühe mit würzigem Geschmack 329 g,Fix Produkte | Knorr Deutschland,Knorr,"Brühen, Bouillons & Würzmittel"
67,8712100412615.0,"Knorr Broccoli Cremesuppe Trockenmischung (mit hochwertigen Broccoliröschen) 1er Pack (1 x 1,5 kg)",Salatzutaten,Knorr,Suppen
69,4038700119704.0,Knorr Salatkrönung Croutinos mit Walnuss und Sojakernen für leckeren Salat ohne geschmacksverstärkende Zusatzstoffe 25 g,Salatzutaten,Knorr,Salatzutaten
71,9000275789403.0,Knorr Gemüse Grießnockerl (lockere Grießnockerl mit Gemüsestücken) 1er Pack (1 x 3 kg),Natürlich Lecker!,Knorr,Suppen
73,8711327470859.0,Knorr Fix Würzmischung Hühnerfrikassee für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 36 g,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
75,8711100648345.0,"Knorr Ratatouille, 1er Pack (1 x 2.5 kg)","Brühen, Bouillons & Würzmittel",Knorr,Fix Produkte | Knorr Deutschland
76,8712100420832.0,"Knorr Lauch-Kartoffel Cremesuppe Trockenmischung (mit feinen Lauchstücken) 1er Pack (1 x 2,25kg)",Salatzutaten,Knorr,Suppen
77,8712566984138.0,Knorr Suli 3T Fleischkl 14x      BT,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
78,8710447885321.0,"Knorr Velouté Weiße Grundsauce OHNE deklarationspflichtige Allergene, 1er Pack (1 x 10000 g)",Suppen,Knorr,Fix Produkte | Knorr Deutschland
79,4000400317711.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
80,,"Knorr Pasta Snack Brokkoli-Käse-Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 62 g Becher -, 496 g & Snack Bar Spaghetti mit Käse Sahne Sauce, 8er Pack (8 x 71 g)",Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
81,4038700117403.0,Knorr Tomato al Gusto Soße Kräuter Knoblauch   355 ml,Sauces,Knorr,Grillsaucen
82,8710522981696.0,Knorr Fix Gewürzmischung Gulasch XXL leckeres Fleischgericht für die schnelle Zubereitung 276 g,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
83,8720182065001.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
86,4000400317155.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
87,8710522797181.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
88,8711200886746.0,Knorr Suli 3T Zahlen    13x      BT,Sauces,Knorr,Fix Produkte | Knorr Deutschland
89,8710447882733.0,Knorr  Bouillon Pur Delikatess mit würzigem Geschmack vegan 8x 8 Stück,"Brühen, Bouillons & Würzmittel",Knorr,Die Bio Gemüse Bouillon
91,8720182405845.0,Knorr Spaghetteria Nudel-Fertiggericht Formagiana leckeres Nudelgericht fertig in 5 Minuten 10x 163 ml,Sauces,Knorr,Snacks & Fertiggerichte
92,,"Knorr Kaiserteller Griessnockerlsuppe, 14x62g",Natürlich Lecker!,Knorr,Suppen
93,4007801375371.0,Knorr Knorr Kräuter Dressing - 50 Portionen (50 x 30 ml),Sauces,Knorr,Salatzutaten
94,8712566202102.0,Knorr Tomato al Gusto Tomaten-Bolognese 370g 370g,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
95,9000275698712.0,"Knorr Sweety Topfenknödel, 2 Portionen (1 x 150 g)",Sauces,Knorr,Fix Produkte | Knorr Deutschland
96,4000400307514.0,"Knorr Salatkrönung Gartenkräuter (Salatdressing einfach zuzubereiten, für flexibel einsetzbares Dressing) 1er Pack (1 x 5 kg)",Salatzutaten,Knorr,Salatzutaten
97,8714100823668.0,Knorr  Salatkrönung Italienische Art für ein leckeres Salatdressing mit natürlichen Zutaten* 2.1L,Salatzutaten,Knorr,Salatzutaten
98,8710447772904.0,"Knorr Natürlich Lecker Spaghetti Bolognese Fix 3 Portionen, 21er Pack (21 x 38 g)",Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
99,8720182427564.0,Knorr Fix Würzmischung Würstchen-Gulasch für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 44 g 1 Stück,Salatzutaten,Knorr,Fix Produkte | Knorr Deutschland
101,4007801103769.0,"Knorr Blumenkohl, feine Karfiol Cremesuppe Trockenmischung (natürlicher, purer Blumenkohl Geschmack) 1er Pack (1 x 2,7 kg)",Suppen,Knorr,Suppen
103,8718114953854.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
104,8714100883006.0,Knorr  Kartoffel Snack Fleischbällchen & Röstzwiebeln leckeres Kartoffelgericht fertig in nur 5 Minuten,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
106,8718114824758.0,Knorr Fix Würzmischung Knuspriges Brathähnchen für ein leckeres Fleischgericht mit natürlichen Zutaten 4 Portionen,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
107,8714100790328.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
108,,"Knorr Pasta Snack Brokkoli-Käse-Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 62 g Becher -, 496 g & Pasta Snack Pilz-Rahm-Sauce leckeres Nudelgericht - 8 x 63 g Becher -, 504 g",Natürlich Lecker!,Knorr,Snacks & Fertiggerichte
110,,"Knorr Pasta Snack verschiedene Sorten mit leckeren Instant Nudeln fertig in nur 5 Minuten, 24 Stück & Pasta Snack Brokkoli-Käse-Soße leckere Instant Nudeln fertig in nur 5 Minuten 62 g 8 Stück",Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
111,9000275740404.0,Knorr Bratensaft Trockenmischung (authentischer Fleischgeschmack) 1er Pack (1 x 2kg),Salatzutaten,Knorr,"Brühen, Bouillons & Würzmittel"
112,8714100823927.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
113,8718114827612.0,Knorr Fix Würzmischung Kräuter-Sahne Hähnchen für ein leckeres Ofengericht mit natürlichen Zutaten 3 Portionen,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
114,8714100823804.0,Knorr  Salatkrönung 7-Kräuter für ein leckeres Salatdressing mit natürlichen Zutaten* 14x 5er Pack,Salatzutaten,Knorr,Salatzutaten
115,4007801110330.0,"Knorr Käse Sauce (cremige Konsistenz, abgerundeter Käsegeschmack) 1er Pack (1 x 1kg)",Salatzutaten,Knorr,Grillsaucen
116,8714100955161.0,Knorr  Pasta Snack Pot Käse & Sahne leckere Instant Nudeln fertig in nur 5 Minuten 8x 71g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
118,8718114946696.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
119,4038700117595.0,Knorr Tomato al Gusto Nudelsosse All' Arrabbiata   370 g,Snacks & Fertiggerichte,Knorr,Sauces
120,4000400118035.0,Knorr  Rahm Soße leckere hellbraune Sauce ohne geschmacksverstärkende Zusatzstoffe 238 g,Natürlich Lecker!,Knorr,Grillsaucen
121,8714100823743.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
122,8718114827773.0,Knorr Fix Würzmischung Nudel-Broccoli Auflauf für einen leckeren Nudelauflauf ohne geschmacksverstärkende Zusatzstoffe 46 g 1 Stück,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
123,,Knorr Streuer Frühlingskräuter für Gemüse 60 g,Salatzutaten,Knorr,Die Bio Gemüse Bouillon
124,8712566410552.0,Knorr  Suppenliebe Tomaten Cremesuppe fruchtige Gemüsesuppe mit natürlichen Zutaten 62 g 1 Stück,Suppen,Knorr,Suppen
125,8714100698068.0,Knorr  Pasta Snack Pot Käse & Sahne leckere Instant Nudeln fertig in nur 5 Minuten 71g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
126,8718114947174.0,Knorr Fix Würzmischung Knuspriges Brathähnchen für ein leckeres Fleischgericht mit natürlichen Zutaten 28 x 29 g,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
128,8712100981913.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
129,9000275712715.0,"Knorr Klare Suppe Bouillon rein pflanzlich, 1er Pack (1 x 1 kg)",Die Bio Gemüse Bouillon,Knorr,Die Bio Gemüse Bouillon.
130,4000400001573.0,Knorr Sauce Hollandaise mit Crème fraîche 250ml 250ml,Sauces,Knorr,Sauces
132,,"Knorr Pasta und Kartoffel, Käse-Sahne Sauce (8x), Brokkoli Käse Sauce (8x) Pfanni Kartoffelpüree Röstzwiebeln Croutons (8x), 1.568 kg & Kartoffel Snack Speck & Zwiebeln, 8er Pack ( 8 x 58g )",Snacks & Fertiggerichte,Knorr,Fix Produkte | Knorr Deutschland
133,8717163861776.0,Knorr Fix Würzmischung Bolognese Typisch Italienisch! für ein leckeres Nudelgericht ohne geschmacksverstärkende Zusatzstoffe 42 g 1 Stück,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
135,,"Knorr Feinschmecker Pfifferling Soße, 1er-Pack (1 x 250 ml)",Suppen,Knorr,Sauces
136,8714100679890.0,Knorr Asia Noodles Instant Nudeln Rind-Geschmack asiatisches Nudelgericht fertig in nur 4 Minuten 68 g,Suppen,Knorr,Fix Produkte | Knorr Deutschland
137,8718114823485.0,Knorr Fix Würzmischung Pfeffer-Rahm Medaillons für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 35 g,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
138,8710522801932.0,"Knorr Knusper Topping Frühlingskräuter und Käse, 40g",Salatzutaten,Knorr,Fix Produkte | Knorr Deutschland
139,4038700114082.0,Knorr Feinschmecker Sauce Hollandaise klassisch eine leckere Soße ohne geschmacksverstärkende Zusatzstoffe 250 ml 1 Stück,Sauces,Knorr,Grillsaucen
140,8718114823515.0,Knorr Fix Würzmischung Schmorbraten für ein leckeres Fleischgericht Gewürzmischung mit natürlichen Zutaten 4 Portionen,"Brühen, Bouillons & Würzmittel",Knorr,Fix Produkte | Knorr Deutschland
143,4007801104179.0,"Knorr Tessiner Käse Cremesuppe Trockenmischung (würziger Käse Geschmack, cremige Konsistenz) 1er Pack (1 x 2,7kg)","Brühen, Bouillons & Würzmittel",Knorr,Suppen
144,8714100893265.0,Knorr Salat Krönung Gartenkräuter 210ml 210ml,Salatzutaten,Knorr,Salatzutaten
145,,Knorr MeisterKessel Feur. Gulasch 6x500g,"Grillsaucen, Ketchup & Mayo",Knorr,Suppen
147,8714100697108.0,Knorr  Pasta Snack Pot Gulasch-Sauce leckere Instant Nudeln fertig in 5 Minuten 60 g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte.
148,,"Knorr Suppenliebe Hühner Suppe, 15 x 3 Teller (15 x 750 ml) & Suppenliebe Fertiggericht Buchstaben Suppe, 14 x 82 g",Suppen,Knorr,Suppen
150,4038700318091.0,"Knorr Spaghetteria Panna, 10er Pack (10 x 153 g)",Sauces,Knorr,Fix Produkte | Knorr Deutschland
151,40387765.0,Knorr  Fette Brühe als Brühwürfel zum Verfeinern und Abschmecken 100 g 1 Packung,"Brühen, Bouillons & Würzmittel",Knorr,"Brühen, Bouillons & Würzmittel"
152,4007801104797.0,"Knorr Hühner Kraftbouillon, 1000 g","Brühen, Bouillons & Würzmittel",Knorr,"Brühen, Bouillons & Würzmittel"
153,,"Knorr Pasta Snack Brokkoli-Käse-Sauce, 8 x 69 g + Knorr Pasta Snack Tomaten-Mozzarella-Sauce, 8 x 72 g",Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
156,8711327414921.0,Knorr  Pasta Snack Pot Brokkoli & Käse leckere Instant Nudeln fertig in nur 5 Minuten 62 g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
157,9000275784309.0,"Knorr Spinatnockerl mit feinem Mozzarella (besonders flaumige Suppeneinlage) 1er Pack (1 x 2,5 kg)",Sauces,Knorr,Fix Produkte | Knorr Deutschland
158,4038700126986.0,Knorr Hüttenschmaus Fertiggericht Käse-Spätzle leckeres Nudelgericht fertig in 12 Minuten 149 g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
159,8720182421975.0,Knorr  Suppenliebe Disney Die Eiskönigin Suppe leckere schnelle Suppe für Kinder und Erwachsene mit natürlichen Zutaten 14x 2 Portionen,Suppen,Knorr,Suppen
160,8711200451869.0,"Knorr Mein Würzgeheimnis Geschenkset ( für Kochliebhaber, mit 4 verschiedenen Würzmixen - 100 Prozent natürliche Zutaten ) 1er Pack",Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
163,9000275713514.0,Knorr Rindessa Rindfleisch Bouillon (kräftiger Geschmack) 1er Pack (1 x 1 kg),Salatzutaten,Knorr,"Brühen, Bouillons & Würzmittel"
164,8718114947266.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
165,8710522627433.0,Knorr Asia Noodles Instant Nudeln Chicken Taste leckere Asia Nudeln fertig in nur 3 Minuten 65 g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
166,,Knorr Fix Würzmischung Chili con Carne für einen würzigen Eintopf mit natürlichen Zutaten* 33 g 1 Stück (Packung mit 2),Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
167,8714100089453.0,"Knorr Joghurt Dressing (cremiges, frisches Salatdressing ohne Konservierungsstoffe), 3er Pack (3 x 1L)",Salatzutaten,Knorr,Salatzutaten
168,8720182089021.0,Knorr  Gemüse Bouillon im Glas mit vollem Geschmack und mit natürlichen Zutaten 136 g,Natürlich Lecker!,Knorr,Die Bio Gemüse Bouillon
169,4013300031281.0,Knorr  Sauce Chili würzige Grillsauce mit scharfem Geschmack 250 ml 1 Stück,Sauces,Knorr,Grillsaucen
170,4038700114136.0,Knorr  Feinschmecker Champignon Sauce cremige braune Sauce ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 250 ml 1er-Pack,Sauces,Knorr,Sauces
171,8712100440137.0,"Knorr Käse Ideal Cremesuppe (Trockenmischung für Suppen und Saucen) 1er Pack (1 x 2,75kg)","Brühen, Bouillons & Würzmittel",Knorr,Suppen
173,4038700317001.0,"Knorr Braten Soße Extra 3 x 250 ml, 15er Pack",Sauces,Knorr,Grillsaucen
174,8712566332137.0,Knorr  Suppenliebe Hühnersuppe für eine leckere Nudelsuppe mit vielen Nudeln ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 3 Teller,Suppen,Knorr,Suppen.
175,8717163949962.0,"Knorr Natürlich Lecker! Fix für Süßkartoffel-Linsen-Curry #HeuteIstMeinVeggieTag Süßkartoffel-Linsen-Curry vegetarisch, 32 g, 2 Portionen",Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
176,8712100436635.0,"Knorr Champignon Cremesuppe Trockenmischung (cremiger, runder Champignongeschmack) 1er Pack (1 x 900 g)",Natürlich Lecker!,Knorr,Suppen
177,8720182396976.0,Knorr Taste the World Pasta Snack Mac & Cheese Jalapeño leckere kleine Mahlzeit fertig in nur 5 Minuten 8x 62 g,Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
178,8717163851852.0,Knorr Salatkrönung Caesar 210ml 210ml,Salatzutaten,Knorr,Salatzutaten
179,8718114835907.0,Knorr Fix Würzmischung Hackfleisch Jäger Art für ein leckeres Gericht mit Hackfleisch ohne geschmacksverstärkende Zusatzstoffe 36 g 1 Stück,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
180,8714100680339.0,Knorr Asia Noodles Instant Nudeln Huhn-Geschmack schnelles Nudelgericht fertig in nur 4 Minuten 70 g 1 Stück,Suppen,Knorr,Snacks & Fertiggerichte
182,8720182229250.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
184,8712566361496.0,Knorr  Bouillon Pur Huhn leckere Hühnerbouillon mit vollem Geschmack 6x 28 g,"Brühen, Bouillons & Würzmittel",Knorr,"Brühen, Bouillons & Würzmittel"
185,,"Knorr Klare Suppe Bouillon rein pflanzlich, 1er Pack (1 x 1 kg) & Gemüse Kraftbouillon (Gemüsebrühe mit Suppengrün, rein pflanzlich, vegan) 1er Pack (1 x 1 kg)",Natürlich Lecker!,Knorr,"Brühen, Bouillons & Würzmittel"
186,,"Knorr Kartoffel Snack mit Fleischbällchen & Röstzwiebeln, 53 g (Packung mit 2)",Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
187,8711327457065.0,"Knorr Pasta und Kartoffel, Käse-Sahne Sauce (8x), Brokkoli Käse Sauce (8x) Pfanni Kartoffelpüree Röstzwiebeln Croutons (8x) im Sortimentskarton (24 x Becher), 1.568 kg Snack Pots (24 Pots) Single",Snacks & Fertiggerichte,Knorr,Fix Produkte | Knorr Deutschland
188,,"Knorr Snack Bar Nudeln in Käse-Kräuter-Sauce, 8er Pack (8 x 65 g) & Pasta Snack Brokkoli-Käse-Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 62 g Becher -, 496 g",Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
189,8720182067364.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
190,8712566361564.0,Knorr Bouillon Pur Delikatess mit würzigem Geschmack vegan 6x 28 g,"Brühen, Bouillons & Würzmittel",Knorr,"Brühen, Bouillons & Würzmittel"
191,,"Knorr Gemüsegold Bouillon Gemüsebrühe (rein pflanzlich, ausgeprägter Gemüsegeschmack) 1er Pack (1 x 1 kg) & Gemüse Kraftbouillon (Gemüsebrühe mit Suppengrün, rein pflanzlich, vegan) 1er Pack (1 x 1kg)",Natürlich Lecker!,Knorr,"Brühen, Bouillons & Würzmittel"
192,4007801106593.0,"Knorr Bratenjus pastös (vielseitig anwendbar für Bratensaft, Bratensoße (gravy) und braune Soße) 1er pack (1 x 1,4 kg)",Suppen,Knorr,"Brühen, Bouillons & Würzmittel"
193,8711200339891.0,Knorr  Suppe Spargelcreme   2 Teller,"Grillsaucen, Ketchup & Mayo",Knorr,Suppen
194,8712423037656.0,Knorr Feinschmecker Suppe  leckere Zwiebelsuppe ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe mit nachhaltig angebauten Zwiebeln 14 x 3 Teller,Sauces,Knorr,Suppen
